City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,75.69,clear sky,-23.12,-134.97,Pension Maro'i
4,Atuona,PF,81.19,overcast clouds,-9.8,-139.03,Villa Enata
7,Santa Maria Del Oro,MX,79.14,clear sky,25.93,-105.37,Hotel Palacio Del Sol
24,Kieta,PG,80.24,light rain,-6.22,155.63,
27,Luganville,VU,77.0,scattered clouds,-15.53,167.17,The Espiritu Hotel
30,Palmerston,AU,77.0,scattered clouds,-12.49,130.98,Quest Palmerston - Serviced Apartments and Accommodation
38,Kapaa,US,75.2,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
39,Victoria,HK,82.99,broken clouds,22.29,114.16,Mini Hotel Central
43,Alofi,NU,78.8,broken clouds,-19.06,-169.92,Taloa Heights
45,Hithadhoo,MV,85.06,light rain,-0.6,73.08,Scoop Guest House
46,Santa Cruz,BO,82.4,clear sky,-17.8,-63.17,Hotel Cortez
47,Butaritari,KI,82.94,clear sky,3.07,172.79,Isles Sunset Lodge
49,Auburn,US,84.0,broken clouds,47.31,-122.23,La Quinta Inn & Suites by Wyndham Auburn
56,Oistins,BB,86.0,shower rain,13.07,-59.53,Butterfly Beach Hotel
58,Arraial Do Cabo,BR,75.2,clear sky,-22.97,-42.03,Pousada Porto Praia
59,Vaini,TO,78.8,scattered clouds,-21.2,-175.2,Keleti Beach Resort
60,Puerto Ayora,EC,82.4,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
61,Rock Sound,BS,78.76,moderate rain,24.9,-76.2,Rock Sound Club
65,Mahebourg,MU,75.2,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
67,Saint George,US,88.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
68,Acapulco,MX,87.8,clear sky,16.86,-99.89,HS Hotsson Smart Acapulco
69,San Patricio,MX,86.0,clear sky,19.22,-104.7,Hotel Cabo Blanco
71,Pitimbu,BR,84.2,few clouds,-7.47,-34.81,Reserva do Abiaí
72,Georgetown,MY,82.4,light rain,5.41,100.34,Cititel Penang
74,Bengkulu,ID,76.3,light rain,-3.8,102.27,Grage Hotel Bengkulu
82,Kahului,US,78.8,light rain,20.89,-156.47,Maui Seaside Hotel
86,Kavieng,PG,83.05,clear sky,-2.57,150.8,Nusa Island Retreat
87,Gidam,IN,82.98,clear sky,18.98,81.4,Dhanshree Lodge And DormItory
88,Karaton,ID,80.6,overcast clouds,-6.34,106.1,Parkir Mobil Wisata CAS Water Park
92,Santa Rosa,PH,82.4,few clouds,14.31,121.11,Hungry Soles Studios
103,Abu Dhabi,AE,86.0,clear sky,24.47,54.37,Beach Rotana
104,Tomigusuku,JP,75.2,broken clouds,26.18,127.67,Nest Hotel Naha
112,Cabedelo,BR,84.2,few clouds,-6.98,-34.83,Lua Mansa Pousada
115,Tura,IN,76.33,clear sky,25.52,90.22,Hotel RIKMAN Continental
117,Salalah,OM,84.2,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
124,Dulce Nombre De Culmi,HN,86.0,moderate rain,15.1,-85.53,Hotel Maria Jose
129,Cabo San Lucas,MX,88.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
133,Touros,BR,82.4,broken clouds,-5.2,-35.46,INN NEW HORIZON
139,Bambous Virieux,MU,75.2,shower rain,-20.34,57.76,Casa Tia Villa
141,Abilene,US,75.0,clear sky,32.45,-99.73,La Quinta Inn by Wyndham Abilene
142,Niquero,CU,86.45,overcast clouds,20.04,-77.58,
144,Ixtapa,MX,84.2,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
