City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sivaki,RU,2020-05-08 01:34:23,52.63,126.75,58.32,35,0,11.79
1,Mataura,NZ,2020-05-08 01:34:23,-46.19,168.86,52.88,75,98,3.44
2,Sosnovo-Ozerskoye,RU,2020-05-08 01:34:24,52.52,111.54,48.36,49,50,12.64
3,Harrisonburg,US,2020-05-08 01:34:24,38.45,-78.87,55.0,40,1,4.7
4,Hermanus,ZA,2020-05-08 01:30:03,-34.42,19.23,55.0,95,12,7.47
5,Port Alfred,ZA,2020-05-08 01:34:24,-33.59,26.89,61.0,91,92,7.02
6,Caravelas,BR,2020-05-08 01:34:24,-17.71,-39.25,73.11,91,100,13.8
7,Ushuaia,AR,2020-05-08 01:32:44,-54.8,-68.3,48.2,76,90,8.05
8,Port Hedland,AU,2020-05-08 01:31:03,-20.32,118.57,86.0,28,29,12.75
9,Pochutla,MX,2020-05-08 01:34:25,15.74,-96.47,86.0,63,44,3.51
10,Padang,ID,2020-05-08 01:34:25,-0.95,100.35,78.13,83,100,5.86
11,Nikolskoye,RU,2020-05-08 01:34:26,59.7,30.79,39.0,93,0,2.24
12,Arraial Do Cabo,BR,2020-05-08 01:34:26,-22.97,-42.03,70.34,74,60,12.24
13,Saint-Philippe,RE,2020-05-08 01:34:26,-21.36,55.77,75.2,73,75,5.82
14,Fryanovo,RU,2020-05-08 01:34:26,56.13,38.45,50.0,93,17,6.71
15,Fortuna,US,2020-05-08 01:32:18,40.6,-124.16,62.01,82,20,13.87
16,Lebu,CL,2020-05-08 01:34:27,-37.62,-73.65,57.06,81,100,4.12
17,Karpogory,RU,2020-05-08 01:34:27,64.0,44.45,36.27,94,100,3.2
18,Itarema,BR,2020-05-08 01:34:27,-2.92,-39.92,77.85,87,2,6.51
19,Bethel,US,2020-05-08 01:34:27,41.37,-73.41,54.0,34,75,3.36
20,Severo-Kurilsk,RU,2020-05-08 01:34:27,50.68,156.12,35.76,83,100,15.12
21,Grand-Santi,GF,2020-05-08 01:34:28,4.25,-54.38,73.96,96,100,2.28
22,Punta Arenas,CL,2020-05-08 01:34:28,-53.15,-70.92,41.0,100,20,2.24
23,Isangel,VU,2020-05-08 01:34:28,-19.55,169.27,80.6,78,40,13.13
24,Cape Town,ZA,2020-05-08 01:29:53,-33.93,18.42,64.0,93,31,8.05
25,Lichinga,MZ,2020-05-08 01:34:28,-13.31,35.24,54.84,97,48,7.87
26,Kapaa,US,2020-05-08 01:34:28,22.08,-159.32,77.0,69,75,19.46
27,Tuatapere,NZ,2020-05-08 01:34:29,-46.13,167.68,53.49,82,85,5.1
28,Sola,VU,2020-05-08 01:34:29,-13.88,167.55,84.2,70,40,11.41
29,Cabedelo,BR,2020-05-08 01:34:29,-6.98,-34.83,75.2,94,77,9.93
30,Barrow,US,2020-05-08 01:34:29,71.29,-156.79,14.0,85,90,13.87
31,Thompson,CA,2020-05-08 01:32:04,55.74,-97.86,30.2,63,75,6.93
32,Batemans Bay,AU,2020-05-08 01:33:38,-35.72,150.18,75.99,41,0,1.99
33,Ayorou,NE,2020-05-08 01:34:30,14.73,0.92,76.5,15,60,3.2
34,Clyde River,CA,2020-05-08 01:34:30,70.47,-68.59,8.6,92,1,2.24
35,Angoche,MZ,2020-05-08 01:34:30,-16.23,39.91,73.78,80,7,10.07
36,Zverinogolovskoye,RU,2020-05-08 01:34:30,54.46,64.85,59.79,44,0,5.59
37,New Norfolk,AU,2020-05-08 01:34:31,-42.78,147.06,63.0,74,100,4.0
38,Albany,US,2020-05-08 01:34:31,42.6,-73.97,54.0,49,45,5.55
39,Nichinan,JP,2020-05-08 01:34:31,31.6,131.37,73.4,60,75,10.29
40,Bredasdorp,ZA,2020-05-08 01:31:22,-34.53,20.04,59.0,93,54,1.12
41,Sisimiut,GL,2020-05-08 01:34:31,66.94,-53.67,32.02,86,1,10.67
42,Mgandu,TZ,2020-05-08 01:34:31,-5.95,34.13,58.75,97,57,5.86
43,Sao Joao Da Barra,BR,2020-05-08 01:34:32,-21.64,-41.05,66.38,91,100,13.94
44,Kabare,CD,2020-05-08 01:34:32,-2.47,28.82,62.19,88,80,4.07
45,Cayenne,GF,2020-05-08 01:30:04,4.93,-52.33,78.8,88,75,2.24
46,Hithadhoo,MV,2020-05-08 01:30:44,-0.6,73.08,84.47,79,81,13.71
47,La Ronge,CA,2020-05-08 01:34:33,55.1,-105.28,44.6,52,75,9.17
48,Vaini,TO,2020-05-08 01:34:33,-21.2,-175.2,80.6,88,75,10.29
49,Saint-Augustin,CA,2020-05-08 01:34:33,51.23,-58.65,32.83,97,100,6.06
50,Hilo,US,2020-05-08 01:32:13,19.73,-155.09,80.6,61,1,14.99
51,Rikitea,PF,2020-05-08 01:34:33,-23.12,-134.97,75.38,74,3,12.77
